title,year,citationCount,top_conf_citations,top_journal_citations,paperId,notes,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,ai_category
Non-Autoregressive Semantic Parsing for Compositional Task-Oriented Dialog,2021,21,9,1,13e538b94a1d97d0154709a977cca9352fee428d,,0,0,0,0,0,0,0,6,8,3,3,自然语言处理
Example-Driven Intent Prediction with Observers,2021,40,19,0,236df68e8c130eac6332aff1b158a251bab5b9c7,,0,0,0,0,0,0,0,3,14,15,5,自然语言处理
Imperfect also Deserves Reward: Multi-Level and Sequential Reward Modeling for Better Dialog Management,2021,10,5,0,dfea422a6e4a251a0404eacd7929ed234adf9ba0,,0,0,0,0,0,0,1,1,3,1,3,强化学习与智能决策
Action-Based Conversations Dataset: A Corpus for Building More In-Depth Task-Oriented Dialogue Systems,2021,75,29,0,8c0ec929aac2eb67d36f383f3175f22a1b285264,,0,0,0,0,0,0,0,4,17,26,12,自然语言处理
COIL: Revisit Exact Lexical Match in Information Retrieval with Contextualized Inverted List,2021,241,100,0,2d7a784a093615d00d4ac0a7b5763a15d86d4996,,0,0,0,0,0,0,0,22,81,57,44,自然语言处理
X-Class: Text Classification with Extremely Weak Supervision,2021,83,46,1,84cc15cf63cb9856653e1bbf46d132abfbb97a13,,0,0,0,0,0,0,0,7,19,32,16,自然语言处理
Fine-tuning Encoders for Improved Monolingual and Zero-shot Polylingual Neural Topic Modeling,2021,15,4,0,6a6b66a670e1a46e4368229ee0d3109ed2df0533,,0,0,0,0,0,0,1,1,2,5,3,自然语言处理
"Exploring the Relationship Between Algorithm Performance, Vocabulary, and Run-Time in Text Classification",2021,0,0,0,6325de3a35df5a5981feffcf421108854a892108,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
Faithfully Explainable Recommendation via Neural Logic Reasoning,2021,36,12,0,9686cbf4156d7a06a81ddb3edb0b0e5aac226621,,0,0,0,0,0,0,0,9,11,6,4,模型可解释性、公平性、应用系统等
You Sound Like Someone Who Watches Drama Movies: Towards Predicting Movie Preferences from Conversational Interactions,2021,2,2,0,be475ab89ce82ed177125f3d0c3fd316577f4e6f,,0,0,0,0,0,0,0,1,0,1,0,自然语言处理
Reading and Acting while Blindfolded: The Need for Semantics in Text Game Agents,2021,28,14,1,e6833fc4cadea279e824924c9a4efd1e89e633e3,,0,0,0,0,0,0,0,3,12,7,2,自然语言处理
SOrT-ing VQA Models : Contrastive Gradient Learning for Improved Consistency,2021,2,1,0,12a2e4f53668de97ef7a4bbb4661461340f87936,,0,0,0,0,0,0,0,0,1,1,0,计算机视觉
Semi-Supervised Policy Initialization for Playing Games with Language Hints,2021,1,0,0,adf30d805931c19247ee124bdaedbc793003697a,,0,0,0,0,0,0,0,1,0,0,0,强化学习与智能决策
Revisiting Document Representations for Large-Scale Zero-Shot Learning,2021,11,5,0,35f63da8669318a2da0173490ffd8ddf3f3f7999,,0,0,0,0,0,0,0,0,4,2,2,表示学习与优化方法
Negative language transfer in learner English: A new dataset,2021,3,0,0,a91c5b6e781e47215ae797d0b881bf4c69c2af79,,0,0,0,0,0,0,0,2,0,0,0,自然语言处理
SentSim: Crosslingual Semantic Evaluation of Machine Translation,2021,30,10,0,aeff47b65c8e311a7282918c90be633fb516fae0,,0,0,0,0,0,0,0,5,11,4,5,自然语言处理
Quality Estimation for Image Captions Based on Large-scale Human Evaluations,2021,31,12,1,a34dde0fc2ef92f81350d5d1fc32b986ef2574b0,,0,0,0,0,0,1,2,6,3,9,5,计算机视觉
CaSiNo: A Corpus of Campsite Negotiation Dialogues for Automatic Negotiation Systems,2021,61,23,1,37607828cb9b8ae5011bbcc8ecc2e159f719347c,,0,0,0,0,0,0,0,1,10,10,21,自然语言处理
News Headline Grouping as a Challenging NLU Task,2021,15,7,1,6c13209f4889b90864ba1d824f5e25e440a2b598,,0,0,0,0,0,0,0,3,4,7,1,自然语言处理
"Olá, Bonjour, Salve! XFORMAL: A Benchmark for Multilingual Formality Style Transfer",2021,62,25,0,619b8c9752d615b115b6be89ea76eb037db1bf34,,0,0,0,0,0,0,1,7,12,22,13,自然语言处理
Grouping Words with Semantic Diversity,2021,2,0,0,e2916c30f0654a25e6177be4db9c6786e9325d75,,0,0,0,0,0,0,0,0,1,0,0,自然语言处理
Noise Stability Regularization for Improving BERT Fine-tuning,2021,46,10,2,441fa19685f7ba5f5d1b295eec37543a43c09194,,0,0,0,0,0,0,0,4,8,13,15,自然语言处理
FlowPrior: Learning Expressive Priors for Latent Variable Sentence Models,2021,8,4,0,91160ebc15a0d8f5e0a4a6673d0abd9f05f5cd20,,0,0,0,0,0,0,0,0,4,2,2,自然语言处理
HTCInfoMax: A Global Model for Hierarchical Text Classification via Information Maximization,2021,65,20,4,68a22bc6c8b079f6f651ba30b9e6be82207f1166,,0,0,0,0,0,0,1,1,7,16,23,自然语言处理
Knowledge Guided Metric Learning for Few-Shot Text Classification,2021,27,8,0,02cce36fc58fd9a8682877435689eeef5c1a29fa,,0,0,0,0,0,0,2,4,8,7,2,自然语言处理
Ensemble of MRR and NDCG models for Visual Dialog,2021,10,3,0,9fe7f70bdca53dbc1b6fe4cca5f13cf15ad88aca,,0,0,0,0,0,0,0,0,1,2,0,多模态学习
Supervised Neural Clustering via Latent Structured Output Learning: Application to Question Intents,2021,6,1,0,f18a5479dbc4293c54999a10ba8558e7cc462602,,0,0,0,0,0,0,0,0,2,2,1,自然语言处理
ConVEx: Data-Efficient and Few-Shot Slot Labeling,2021,38,17,0,41c260cb61e4641d0bcc4dc92cef9c5bff525fb6,,0,0,0,0,0,0,1,10,11,10,5,自然语言处理
CREAD: Combined Resolution of Ellipses and Anaphora in Dialogues,2021,17,8,0,02e489228a48d1a14b9634400b59752deaf83e48,,0,0,0,0,0,0,0,0,9,6,1,自然语言处理
Knowledge-Driven Slot Constraints for Goal-Oriented Dialogue Systems,2021,4,3,0,9202fba71d225bde06ff41dfee7c993a4627e18f,,0,0,0,0,0,0,0,1,2,1,0,自然语言处理
Clipping Loops for Sample-Efficient Dialogue Policy Optimisation,2021,1,0,0,bb49d0a18a93b8723fcd91b2ff4beb430416efaa,,0,0,0,0,0,0,0,0,0,1,0,强化学习与智能决策
Integrating Lexical Information into Entity Neighbourhood Representations for Relation Prediction,2021,3,1,0,92dbc77add2d046c3ba6e1f20d6415f571fcb355,,0,0,0,0,0,0,0,0,0,2,1,自然语言处理
Noisy-Labeled NER with Confidence Estimation,2021,63,25,0,3162df2b118bae31553120d5f85372c854601450,,0,0,0,0,0,0,0,8,22,18,9,自然语言处理
TABBIE: Pretrained Representations of Tabular Data,2021,205,90,7,386bfd0e411dee4f512a8737c55dd84846981182,,0,0,0,0,0,0,0,9,43,56,51,表示学习与优化方法
Better Feature Integration for Named Entity Recognition,2021,44,20,2,980e0f25b06112cfe4f0132a3ed35338250012b9,,0,0,0,0,0,0,0,6,10,18,1,自然语言处理
ZS-BERT: Towards Zero-Shot Relation Extraction with Attribute Representation Learning,2021,114,48,1,93df9dc530b1cf0af6d5eef90d017741a2aab5d8,,0,0,0,0,0,0,0,4,16,31,34,自然语言处理
Graph Convolutional Networks for Event Causality Identification with Rich Document-level Structures,2021,65,26,0,5649d1a202e523d0653fbba3cc9017cee539dc19,,0,0,0,0,0,0,0,5,11,18,17,自然语言处理
A Context-Dependent Gated Module for Incorporating Symbolic Semantics into Event Coreference Resolution,2021,30,20,1,1405b40f4a151e9ec2cf3040386279e828e48179,,0,0,0,0,0,0,0,10,3,9,5,自然语言处理
Multi-Style Transfer with Discriminative Feedback on Disjoint Corpus,2021,20,8,0,97994fc8034ff1ee458b60085cf86e67db881c82,,0,0,0,0,0,0,0,2,6,8,4,计算机视觉
FUDGE: Controlled Text Generation With Future Discriminators,2021,381,166,4,b6c4a96e09b9f11e7c70e7f1fbe3f3971b92762d,,0,0,0,0,0,0,1,11,63,103,112,自然语言处理
Controllable Text Simplification with Explicit Paraphrasing,2021,113,26,4,63dfa44285c075800be8e7ad3c7eaa8ed039b916,,0,0,0,0,0,0,1,11,27,27,29,自然语言处理
Knowledge Graph Based Synthetic Corpus Generation for Knowledge-Enhanced Language Model Pre-training,2021,195,62,8,1a1e99514d8d175459f7c61cfd0c394b46e63359,,0,0,0,0,0,0,2,16,40,48,53,自然语言处理
Choose Your Own Adventure: Paired Suggestions in Collaborative Writing for Evaluating Story Generation Models,2021,32,11,0,45d8d1adc4649555c6150d020b139f0e7a6c6415,,0,0,0,0,0,0,0,4,10,9,3,自然语言处理
InfoXLM: An Information-Theoretic Framework for Cross-Lingual Language Model Pre-Training,2021,404,176,5,4ceff7472c04ee6d76bce89d61ba4b445d8dbf74,,0,0,0,0,0,1,20,66,92,98,68,自然语言处理
Context-Interactive Pre-Training for Document Machine Translation,2021,2,1,0,ddee39932ce80fbc37ca7d6816f447826f6ec2b1,,0,0,0,0,0,0,0,0,1,0,1,自然语言处理
Code-Mixing on Sesame Street: Dawn of the Adversarial Polyglots,2021,38,11,1,ef7fe0689036897434d1b838be78738147b5264d,,0,0,0,0,0,0,0,12,6,9,6,自然语言处理
X-METRA-ADA: Cross-lingual Meta-Transfer learning Adaptation to Natural Language Understanding and Question Answering,2021,20,10,1,5dd431c010369169599067f6e24468b10a8edc82,,0,0,0,0,0,0,0,1,9,5,5,自然语言处理
Explicit Alignment Objectives for Multilingual Bidirectional Encoders,2021,64,41,1,50851e9e16b52e14c422b6e937cfd3ed063b6998,,0,0,0,0,0,0,1,17,18,9,10,自然语言处理
Cross-lingual Cross-modal Pretraining for Multimodal Retrieval,2021,33,11,0,13f76ffdd096b037ef1ef39852ecd87c48dc6f00,,0,0,0,0,0,0,0,6,14,7,5,多模态学习
Wikipedia Entities as Rendezvous across Languages: Grounding Multilingual Language Models by Predicting Wikipedia Hyperlinks,2021,18,13,0,e9749062ddc90ec551c692b8a919d59c19e46225,,0,0,0,0,0,0,0,5,8,2,1,自然语言处理
multiPRover: Generating Multiple Proofs for Improved Interpretability in Rule Reasoning,2021,27,11,0,ae14dd88917b732a41475a6cb5f37d3af30d82e1,,0,0,0,0,0,0,0,4,14,6,3,模型可解释性、公平性、应用系统等
Adaptable and Interpretable Neural MemoryOver Symbolic Knowledge,2021,59,31,0,95bc842fde382c5d6784e2f87521e35f9dd38606,,0,0,0,0,0,0,1,6,26,14,8,模型可解释性、公平性、应用系统等
CLEVR_HYP: A Challenge Dataset and Baselines for Visual Question Answering with Hypothetical Actions over Images,2021,26,9,0,0247ce2ac7ecc13d0a80491c7635eb7946bbddb1,,0,0,0,0,0,1,1,1,12,5,5,计算机视觉
Refining Targeted Syntactic Evaluation of Language Models,2021,46,16,2,59c0adcddc2b0252411351ea92252f39ef69540f,,0,0,0,0,0,0,0,8,9,10,10,自然语言处理
Universal Adversarial Attacks with Natural Triggers for Text Classification,2021,78,26,1,64041a45b2db0cbd9d234028195779697158e44b,,0,0,0,0,0,0,3,14,18,18,19,自然语言处理
QuadrupletBERT: An Efficient Model For Embedding-Based Large-Scale Retrieval,2021,11,6,0,8c649514a05a199b547005f89c924570ae299d9b,,0,0,0,0,0,0,0,2,2,2,1,表示学习与优化方法
Dynamically Disentangling Social Bias from Task-Oriented Representations with Adversarial Attack,2021,20,12,0,7d6255d2173b6709dd8b13e096097dfd02cf83d9,,0,0,0,0,0,0,0,3,4,9,4,模型可解释性、公平性、应用系统等
An Empirical Investigation of Bias in the Multimodal Analysis of Financial Earnings Calls,2021,20,7,0,cbc2a99eb3fb9ba236a8dcf7b723a8ecf60ee2ae,,0,0,0,0,0,0,0,2,5,6,6,多模态学习
Beyond Fair Pay: Ethical Implications of NLP Crowdsourcing,2021,91,27,0,e5d720767b7a539bb2edaa98eaf572a4506a79c6,,0,0,0,0,0,0,0,9,19,28,22,模型可解释性、公平性、应用系统等
On Transferability of Bias Mitigation Effects in Language Model Fine-Tuning,2021,80,28,3,65b08b8d490899d1e92a82040a0e374d5677f4f7,,0,0,0,0,0,0,1,3,30,14,18,自然语言处理
Case Study: Deontological Ethics in NLP,2021,32,7,2,c4dba2263bb636c3a0a55e87a445094217c024b4,,0,0,0,0,0,0,0,4,12,5,7,自然语言处理
Privacy Regularization: Joint Privacy-Utility Optimization in LanguageModels,2021,47,17,0,425a4a9c0598e4101ca2f2b930f5c6986ce40a99,,0,0,0,0,0,0,0,6,12,10,8,自然语言处理
On the Impact of Random Seeds on the Fairness of Clinical Classifiers,2021,17,3,1,1d1b05c039ed5c8609723fb46a0ffe2a5ff60414,,0,0,0,0,0,0,0,2,5,7,1,模型可解释性、公平性、应用系统等
Topic Model or Topic Twaddle? Re-evaluating Semantic Interpretability Measures,2021,89,20,3,6a1e38c8da6e1e1a65b029b3e409049c90f6dd73,,0,0,0,0,0,0,1,6,12,18,21,模型可解释性、公平性、应用系统等
Discourse Probing of Pretrained Language Models,2021,59,14,3,a978fcb10817abe8bc91ab2ba0c0bb4605add1d9,,0,0,0,0,0,0,0,5,15,16,12,自然语言处理
UniDrop: A Simple yet Effective Technique to Improve Transformer without Extra Cost,2021,25,7,1,0343875960a81feb75293a747d29ccb013285d23,,0,0,0,0,0,0,0,3,6,6,7,自然语言处理
tWT–WT: A Dataset to Assert the Role of Target Entities for Detecting Stance of Tweets,2021,22,6,0,659fb3d7250efc4ce06ddab8e66b924c791b43cf,,0,0,0,0,0,0,0,3,5,6,5,自然语言处理
Learning to Learn to be Right for the Right Reasons,2021,5,3,0,a4aa9b406ce8d648a4f9b871d1b1b2e1356551f6,,0,0,0,0,0,0,0,1,2,0,0,模型可解释性、公平性、应用系统等
Double Perturbation: On the Robustness of Robustness and Counterfactual Bias Evaluation,2021,12,8,0,01ffe738f268a0941ecbc598cb358521c4e4e714,,0,0,0,0,0,0,0,1,5,2,2,模型可解释性、公平性、应用系统等
Explaining Neural Network Predictions on Sentence Pairs via Learning Word-Group Masks,2021,20,9,0,5b8db46bb3770684ced9922a49c496d467e7eec2,,0,0,0,0,0,0,0,2,8,4,5,模型可解释性、公平性、应用系统等
Almost Free Semantic Draft for Neural Machine Translation,2021,5,2,0,4b2514f66262396e836b980bfea717ea0b309eb9,,0,0,0,0,0,0,0,0,3,2,0,自然语言处理
Pruning-then-Expanding Model for Domain Adaptation of Neural Machine Translation,2021,32,16,0,8acf06738df5ca0c65c9aa58709beaffc03c446b,,0,0,0,0,0,0,0,6,7,7,8,自然语言处理
Multi-Hop Transformer for Document-Level Machine Translation,2021,13,5,0,6ce32a253c1eabf8b608ea1110b2e07afbeab993,,0,0,0,0,0,0,0,0,6,1,3,自然语言处理
Continual Learning for Neural Machine Translation,2021,34,11,0,6442d9609a1efc4a6bbac4bb47a6f39b985f32ee,,0,0,0,0,0,0,0,2,8,5,8,自然语言处理
Self-Training for Unsupervised Neural Machine Translation in Unbalanced Training Data Scenarios,2021,14,7,0,3277e13821617580534fb25dd2d041bf75f0bceb,,0,0,0,0,0,0,4,0,3,3,4,自然语言处理
Smart-Start Decoding for Neural Machine Translation,2021,5,1,0,f4b20bd6a7ec7c57f8afc2228bcfd00a7346197c,,0,0,0,0,0,0,0,2,0,0,3,自然语言处理
Multi-Task Learning with Shared Encoder for Non-Autoregressive Machine Translation,2021,30,16,0,05a5e51b11587d8639d25bc94d8a9f9f17798f80,,0,0,0,0,0,0,0,8,7,9,4,自然语言处理
ER-AE: Differentially Private Text Generation for Authorship Anonymization,2021,40,20,0,61560f8c01f5693a811fed2de14cb94a9e83218d,,0,0,0,0,0,0,1,4,10,6,10,自然语言处理
Distantly Supervised Transformers For E-Commerce Product QA,2021,6,3,0,dbc065d9ab8d6c164aa9ec0042bc464c071f3773,,0,0,0,0,0,0,0,1,0,3,1,自然语言处理
Quantitative Day Trading from Natural Language using Reinforcement Learning,2021,21,7,0,d456cb788ab3a17ed721ad09019de3012d548c92,,0,0,0,0,0,0,0,3,3,4,8,强化学习与智能决策
Restoring and Mining the Records of the Joseon Dynasty via Neural Language Modeling and Machine Translation,2021,20,5,3,faf97048bd0f35ccb60ad42d3ee26e11386aad92,,0,0,0,0,0,0,0,0,4,6,5,自然语言处理
Modeling Diagnostic Label Correlation for Automatic ICD Coding,2021,17,4,1,baaffe9ff4c8e336940bbc31ac89986d20eee3f9,,0,0,0,0,0,0,0,0,5,6,5,自然语言处理
Self-Supervised Contrastive Learning for Efficient User Satisfaction Prediction in Conversational Agents,2021,26,16,0,a024e0da265940abe8bac5381b18fe4eff9ddd34,,0,0,0,0,0,0,0,1,13,7,3,表示学习与优化方法
A recipe for annotating grounded clarifications,2021,19,8,0,1f59b5358209fc9b055d6285fbb77bec781b2d7e,,0,0,0,0,0,0,0,1,0,7,8,自然语言处理
Grey-box Adversarial Attack And Defence For Sentiment Classification,2021,58,10,4,e837660da43eb9637fa33aee3b58599e438d1f5f,,0,0,0,0,0,0,0,3,16,15,20,自然语言处理
How low is too low? A monolingual take on lemmatisation in Indian languages,2021,6,2,0,e8adc80a60cfd44086d1e650dbb9f8901861e3db,,0,0,0,0,0,0,0,0,1,2,2,自然语言处理
Causal Effects of Linguistic Properties,2021,54,16,2,1ce96d8dbf69199ebd043de6cfa25d7e48b8ab03,,0,0,0,0,0,0,0,13,9,7,10,自然语言处理
Dynabench: Rethinking Benchmarking in NLP,2021,14,0,1,77a096d80eb4dd4ccd103d1660c5a5498f7d026b,,0,0,0,0,0,0,0,8,3,1,0,自然语言处理
Translational NLP: A New Paradigm and General Principles for Natural Language Processing Research,2021,20,5,1,c12911574f879e8e1b816b6f57e08fb1253c8022,,0,0,0,0,0,0,0,2,7,3,6,自然语言处理
Predicting Discourse Trees from Transformer-based Neural Summarizers,2021,17,8,1,90d6e2bad5c7798a2eb492888040f454da7f8652,,0,0,0,0,0,0,0,4,3,4,1,自然语言处理
Probing for Bridging Inference in Transformer Language Models,2021,15,7,0,1c0f8a6b8e6f4cc6fc81c4019fc07a2e5ec17107,,0,0,0,0,0,0,0,2,5,2,4,自然语言处理
Is Incoherence Surprising? Targeted Evaluation of Coherence Prediction from Language Models,2021,18,7,0,f6e28a79e90e517c6839d5d52a189bba9f54e13c,,0,0,0,0,0,0,0,1,4,5,3,自然语言处理
Stay Together: A System for Single and Split-antecedent Anaphora Resolution,2021,14,2,0,66792fd0019c3848a69a9409b361558e84d7ccfe,,0,0,0,0,0,0,0,3,6,2,3,自然语言处理
Redefining Absent Keyphrases and their Effect on Retrieval Effectiveness,2021,16,6,1,6e907e0eaaf7fd45a75331efa4b404137207e178,,0,0,0,0,0,0,0,3,4,4,4,自然语言处理
CoRT: Complementary Rankings from Transformers,2021,11,2,0,85795d16aa1b1b819154054905e1b4a5a87e4f43,,0,0,0,0,0,0,2,2,2,3,0,自然语言处理
Multi-source Neural Topic Modeling in Multi-view Embedding Spaces,2021,9,2,1,5e922b5bee1cead0c259ba373410cdedbce6b2da,,0,0,0,0,0,0,0,1,2,4,2,表示学习与优化方法
Inductive Topic Variational Graph Auto-Encoder for Text Classification,2021,30,5,3,c61caf41d56eba4f9245525e56f3bd52aa634f8e,,0,0,0,0,0,0,0,2,7,8,8,自然语言处理
Self-Alignment Pretraining for Biomedical Entity Representations,2021,376,93,13,bb3d3d4be92d741d2dc30e6cd02468f74be0d716,,0,0,0,0,0,0,2,28,71,97,91,自然语言处理
TaxoClass: Hierarchical Multi-Label Text Classification Using Only Class Names,2021,70,32,2,15e100120f080b9ef4230b4cbb8e107b76e2b839,,0,0,0,0,0,0,1,4,18,25,15,自然语言处理
MERMAID: Metaphor Generation with Symbolism and Discriminative Decoding,2021,78,34,2,5678a6e9bd9b4c56f45219e9ccf1a5b6356963d4,,0,0,0,0,0,0,1,12,17,17,21,自然语言处理
On Learning Text Style Transfer with Direct Rewards,2021,43,25,0,40d49345c2cb4c1e8862a939af5f0cc090404bf0,,0,0,0,0,0,0,0,8,15,8,8,自然语言处理
Focused Attention Improves Document-Grounded Generation,2021,42,19,3,c5307613033500ee2061f286ba76ded2033d1a2e,,0,0,0,0,0,0,0,4,15,12,8,自然语言处理
NeuroLogic Decoding: (Un)supervised Neural Text Generation with Predicate Logic Constraints,2021,159,72,0,2c5bf29079cd958a2bef150077a02a1deb300652,,0,0,0,0,0,0,0,14,34,51,35,自然语言处理
Ask what’s missing and what’s useful: Improving Clarification Question Generation using Global Knowledge,2021,52,18,0,b255a1aeed73c236fc1ae209743e32e805795168,,0,0,0,0,0,0,0,3,15,11,18,自然语言处理
Progressive Generation of Long Text with Pretrained Language Models,2021,100,41,2,b5850a86c886baef1c536c34c33b23da2e728492,,0,0,0,0,0,0,0,9,27,31,20,自然语言处理
SOCCER: An Information-Sparse Discourse State Tracking Collection in the Sports Commentary Domain,2021,9,1,0,cd7e04a375761428a91c45f49b2cd3c7f3e9effd,,0,0,0,0,0,0,0,0,4,1,0,自然语言处理
Plot-guided Adversarial Example Construction for Evaluating Open-domain Story Generation,2021,16,8,0,dd868bb057ffd92271a897e487e01e084e68b64e,,0,0,0,0,0,0,0,1,6,6,2,自然语言处理
MultiOpEd: A Corpus of Multi-Perspective News Editorials,2021,13,8,0,565f5c0203f28d3f6ff534283ceac1a96d2c45a3,,0,0,0,0,0,0,0,1,3,4,4,自然语言处理
Swords: A Benchmark for Lexical Substitution with Improved Data Coverage and Quality,2021,21,9,0,91252e0e6fa12b7204719b05d85dab0923e0fe84,,0,0,0,0,0,0,0,2,2,7,5,自然语言处理
“I’m Not Mad”: Commonsense Implications of Negation and Contradiction,2021,37,23,0,ba40d5fa06a0b14aa50c681c0a38746e348a4491,,0,0,0,0,0,0,2,5,13,11,4,自然语言处理
Identifying Medical Self-Disclosure in Online Communities,2021,29,5,0,5b57be0227dc0f09aa9c46f04362104f824f8220,,0,0,0,0,0,0,0,1,10,5,7,自然语言处理
Language in a (Search) Box: Grounding Language Learning in Real-World Human-Machine Interaction,2021,9,2,0,ffd0b74c9760a25806912cdbfb14cebac69a34c6,,0,0,0,0,0,0,1,2,3,2,1,自然语言处理
Finding Concept-specific Biases in Form–Meaning Associations,2021,6,2,0,886d79423b7e5a5e20c4d13b0aa3a45851fd9487,,0,0,0,0,0,0,0,3,1,0,2,自然语言处理
How (Non-)Optimal is the Lexicon?,2021,23,4,3,0d74e4f02e74e4d81e6e8a47d7112e5182c4afa8,,0,0,0,0,0,0,0,3,8,7,4,自然语言处理
Word Complexity is in the Eye of the Beholder,2021,13,3,0,17d136087612e32b94077b8040685c3751f887c6,,0,0,0,0,0,0,0,2,6,2,3,自然语言处理
Linguistic Complexity Loss in Text-Based Therapy,2021,8,2,0,8af66c8149fc4afc57aa7e053dc88f983059b34c,,0,0,0,0,0,0,0,0,3,2,1,自然语言处理
Ab Antiquo: Neural Proto-language Reconstruction,2021,36,8,0,a394fbd8576cc263cb39ab37b25c609f83f1fdf1,,0,0,0,0,0,0,0,1,10,10,8,自然语言处理
On Biasing Transformer Attention Towards Monotonicity,2021,8,5,0,109b5c0bade0dc285153d4c7f90d42a8af06126b,,0,0,0,0,0,0,0,1,4,1,1,自然语言处理
Extracting a Knowledge Base of Mechanisms from COVID-19 Papers,2021,30,11,1,c4ce6aca9aed41d57d588674484932e0c2cd3547,,0,0,0,0,0,0,1,11,8,3,5,自然语言处理
Constrained Multi-Task Learning for Event Coreference Resolution,2021,18,11,1,88becacec14e4a7961b77fe79d2255aab886bf1d,,0,0,0,0,0,0,0,2,4,4,6,自然语言处理
Empirical Evaluation of Pre-trained Transformers for Human-Level NLP: The Role of Sample Size and Dimensionality,2021,43,9,2,a5adcdf4be1463c3ad2a20b4ca0d78be37b28532,,0,0,0,0,0,0,0,4,8,10,10,自然语言处理
Leveraging Deep Representations of Radiology Reports in Survival Analysis for Predicting Heart Failure Patient Mortality,2021,9,0,0,32e3dfdcded5c598085a6ee0f58c21b96bc4596d,,0,0,0,0,0,0,0,0,4,1,0,多模态学习
On the Use of Context for Predicting Citation Worthiness of Sentences in Scholarly Articles,2021,10,2,0,5bdf8bb03ab5690fc8c1a4b303225af786361c91,,0,0,0,0,0,0,0,1,1,2,5,自然语言处理
Data and Model Distillation as a Solution for Domain-transferable Fact Verification,2021,4,1,0,59775b6439fd8f87b61e71347b079fc5eb127476,,0,0,0,0,0,0,0,1,2,0,1,机器学习（含深度学习）
Adapting Coreference Resolution for Processing Violent Death Narratives,2021,9,4,0,cb3b7387b7c465c5aa1d54c207ef4a11f28248d4,,0,0,0,0,0,0,0,1,5,2,0,自然语言处理
Time-Stamped Language Model: Teaching Language Models to Understand The Flow of Events,2021,26,17,0,16d730799318f7e621b835c075d75034a7fc6b8e,,0,0,0,0,0,0,0,1,8,10,5,自然语言处理
If You Want to Go Far Go Together: Unsupervised Joint Candidate Evidence Retrieval for Multi-hop Question Answering,2021,13,1,0,02cc9b6ef7db3ceb21a09661534429336ceba259,,0,0,0,0,0,0,0,1,2,4,5,自然语言处理
SPARTQA: A Textual Question Answering Benchmark for Spatial Reasoning,2021,99,38,1,de74100ac5a16f9169b8a7fe98dd05647b0e8777,,0,0,0,0,0,0,0,5,8,24,30,自然语言处理
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,2021,392,146,0,4e3935ef7da6bcbb202ec7f8b285c313cadcd044,,0,0,0,0,0,0,0,12,31,59,144,自然语言处理
Differentiable Open-Ended Commonsense Reasoning,2021,44,19,0,6027ef3b4e5585b45db0b9d333956425d3972351,,0,0,0,0,0,0,2,13,13,10,2,自然语言处理
Does Structure Matter? Encoding Documents for Machine Reading Comprehension,2021,6,3,0,7af513e8a395b82628dbf627fe9269a44cea14ae,,0,0,0,0,0,0,0,1,3,1,1,自然语言处理
Multi-Step Reasoning Over Unstructured Text with Beam Dense Retrieval,2021,32,19,0,54e82e10962452cfc158832590a78ed9133efc36,,0,0,0,0,0,0,0,10,11,4,3,自然语言处理
Scalable and Interpretable Semantic Change Detection,2021,66,24,1,0c4442693f2403d5f4c44c06663200f0b82324d5,,0,0,0,0,0,0,0,6,15,14,20,模型可解释性、公平性、应用系统等
Scalar Adjective Identification and Multilingual Ranking,2021,7,2,0,6498f3a9101bc8728c9013e75cfbbefbf5b24e5e,,0,0,0,0,0,0,0,0,1,3,2,自然语言处理
ESC: Redesigning WSD with Extractive Sense Comprehension,2021,87,36,0,486df033e3689be451a5e6137b88493d01c8de43,,0,0,0,0,0,0,0,11,20,25,19,自然语言处理
"Recent advances in neural metaphor processing: A linguistic, cognitive and social perspective",2021,43,8,2,adc6837c96ee82d7409727a51701406a3be84d50,,0,0,0,0,0,0,0,1,16,9,10,自然语言处理
Constructing Taxonomies from Pretrained Language Models,2021,36,9,0,d877020a6808f0d4baded6d6cd92d09bbc46bde2,,0,0,0,0,0,0,0,3,8,5,12,自然语言处理
"Event Representation with Sequential, Semi-Supervised Discrete Variables",2021,14,8,0,a9d4b04e606481a4a2d97cac03fa0352756d71f1,,0,0,0,0,0,0,1,3,4,2,2,表示学习与优化方法
Seq2Emo: A Sequence to Multi-Label Emotion Classification Model,2021,38,6,0,3a7af14915e8d1a3de470ba6fe3b4d620becb85c,,0,0,0,0,0,0,0,3,8,8,10,自然语言处理
Knowledge Enhanced Masked Language Model for Stance Detection,2021,101,25,4,c80f6f1cc4d05068e5f564c61450c9f192ea7a52,,0,0,0,0,0,0,0,7,25,31,23,自然语言处理
Learning Paralinguistic Features from Audiobooks through Style Voice Conversion,2021,3,0,0,013c2778cd6853a61a80caed6b49e2767609ce76,,0,0,0,0,0,0,0,0,1,0,1,多模态学习
Adapting BERT for Continual Learning of a Sequence of Aspect Sentiment Classification Tasks,2021,91,35,2,916f8ae4dad6ee8a23e50c3fb0729a31aed17f2d,,0,0,0,0,0,0,0,5,31,25,19,自然语言处理
